pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_ratio,log_mse_ratio,percent_mse_change
heat,0.25,111,uniform,original,uniform_vs_original,1.237625136651932e-06,2.923419734589261e-09,423.34842376844585,6.048195536846315,42234.84237684459
heat,0.25,112,uniform,original,uniform_vs_original,1.148197497302661e-06,3.8738162157214714e-09,296.3995794748402,5.691708474645083,29539.95794748402
heat,0.25,113,uniform,original,uniform_vs_original,1.277111625813676e-06,2.4704903240323206e-09,516.9466212396176,6.24793962205935,51594.66212396176
heat,0.25,114,uniform,original,uniform_vs_original,1.5975211736796169e-06,4.416586008373913e-09,361.70951287956194,5.890841439080993,36070.951287956195
heat,0.25,115,uniform,original,uniform_vs_original,1.320425018436211e-06,3.766977205860167e-09,350.52641581745377,5.859436069733062,34952.641581745374
heat,0.25,116,uniform,original,uniform_vs_original,1.3448741150168253e-06,3.6952905058812435e-09,363.942730044198,5.896996520214873,36294.2730044198
heat,0.25,117,uniform,original,uniform_vs_original,1.543599851827615e-06,5.273329676570848e-09,292.7182532671446,5.679210553445076,29171.825326714457
heat,0.25,118,uniform,original,uniform_vs_original,1.4297700351995069e-06,3.4301053247753903e-09,416.8297762964847,6.032677928138107,41582.97762964847
heat,0.25,119,uniform,original,uniform_vs_original,1.6445303538670242e-06,3.429857928921587e-09,479.47477357585365,6.172691283087312,47847.47735758536
heat,0.25,100,xcorr,original,xcorr_vs_original,2.2806806762032394e-06,3.840995454421764e-09,593.7733338313936,6.386497653661115,59277.33338313936
heat,0.25,101,xcorr,original,xcorr_vs_original,1.735163146832086e-06,3.8083367822142056e-09,455.62229552168037,6.121664166990421,45462.229552168035
heat,0.25,102,xcorr,original,xcorr_vs_original,1.9984323360588974e-06,3.7734212178508475e-09,529.6075419846992,6.272136245429063,52860.75419846992
heat,0.25,103,xcorr,original,xcorr_vs_original,2.4737184872170026e-06,3.478590897103284e-09,711.1265913094104,6.56685046080346,71012.65913094104
heat,0.25,104,xcorr,original,xcorr_vs_original,1.7920535906046364e-06,2.973991440266554e-09,602.5752348648379,6.401212528714017,60157.523486483784
heat,0.25,105,xcorr,original,xcorr_vs_original,5.074445862840449e-06,4.645593080360166e-09,1092.3138929867343,6.996053562789699,109131.38929867343
heat,0.25,106,xcorr,original,xcorr_vs_original,2.2129936700920894e-06,4.569056794370696e-09,484.3436555261486,6.182794686841931,48334.36555261486
heat,0.25,107,xcorr,original,xcorr_vs_original,2.1394253723605594e-06,2.849411201780172e-09,750.8306877659327,6.621180177299984,74983.06877659327
heat,0.25,108,xcorr,original,xcorr_vs_original,2.9246444088748547e-06,4.424584923272412e-09,660.9985929961075,6.493751711250491,65999.85929961075
heat,0.25,109,xcorr,original,xcorr_vs_original,2.448032528912236e-06,4.263320354733202e-09,574.2079706007534,6.352991648817986,57320.79706007533
heat,0.25,110,xcorr,original,xcorr_vs_original,1.4137439029449084e-06,2.846687683320803e-09,496.62768108642877,6.20784061273369,49562.76810864288
heat,0.25,111,xcorr,original,xcorr_vs_original,2.5700177057608187e-06,2.923419734589261e-09,879.1134832104104,6.778913994255622,87811.34832104105
heat,0.25,112,xcorr,original,xcorr_vs_original,2.1347019218964647e-06,3.8738162157214714e-09,551.0591631149159,6.311842177462989,55005.916311491594
heat,0.25,113,xcorr,original,xcorr_vs_original,1.7234822556888574e-06,2.4704903240323206e-09,697.627608140476,6.547685447701109,69662.76081404761
heat,0.25,114,xcorr,original,xcorr_vs_original,3.0899858129429525e-06,4.416586008373913e-09,699.6322062073043,6.5505547772582515,69863.22062073043
heat,0.25,115,xcorr,original,xcorr_vs_original,2.5446621922942114e-06,3.766977205860167e-09,675.5183408956023,6.515480308616559,67451.83408956023
heat,0.25,116,xcorr,original,xcorr_vs_original,2.0364966309693866e-06,3.6952905058812435e-09,551.1059625023252,6.3119271001054305,55010.59625023251
heat,0.25,117,xcorr,original,xcorr_vs_original,3.128223685866516e-06,5.273329676570848e-09,593.2160281510683,6.385558629708371,59221.602815106824
heat,0.25,118,xcorr,original,xcorr_vs_original,2.1879008970104863e-06,3.4301053247753903e-09,637.8523951458412,6.45810690100718,63685.23951458412
heat,0.25,119,xcorr,original,xcorr_vs_original,3.275815706915708e-06,3.429857928921587e-09,955.0878709269708,6.861803347689792,95408.78709269708
heat,0.4,100,acf,original,acf_vs_original,4.118176651024541e-06,5.1079395244763015e-09,806.2305027870827,6.692369685227914,80523.05027870828
heat,0.4,101,acf,original,acf_vs_original,4.2089220753660506e-06,6.345311769073714e-09,663.312100105125,6.497245618646329,66231.2100105125
heat,0.4,102,acf,original,acf_vs_original,5.5600733304128624e-06,3.728161080199244e-09,1491.3715396963792,7.307451471982983,149037.1539696379
heat,0.4,103,acf,original,acf_vs_original,4.579566718732053e-06,5.708483151456445e-09,802.2388079683894,6.6874063290897725,80123.88079683894
heat,0.4,104,acf,original,acf_vs_original,2.790563361609877e-06,4.41033598530538e-09,632.7326015314121,6.4500479024551955,63173.260153141215
heat,0.4,105,acf,original,acf_vs_original,8.232704240662692e-06,5.9129084684084185e-09,1392.3273604941653,7.238731986014381,139132.73604941653
heat,0.4,106,acf,original,acf_vs_original,3.2906353708561653e-06,5.1404592145420924e-09,640.1442426674894,6.461693530127601,63914.42426674894
heat,0.4,107,acf,original,acf_vs_original,2.4707816526359228e-06,2.7923930953979714e-09,884.8258709376973,6.785390869646326,88382.58709376973
heat,0.4,108,acf,original,acf_vs_original,3.84527126484624e-06,5.062786292628352e-09,759.5168041055043,6.6326824470122725,75851.68041055043
heat,0.4,109,acf,original,acf_vs_original,5.629527422890135e-06,4.5148264866262674e-09,1246.8978463659264,7.128414022810357,124589.78463659264
heat,0.4,110,acf,original,acf_vs_original,3.173122460120581e-06,6.793205704555549e-09,467.1023664118802,6.146548433673521,46610.23664118802
heat,0.4,111,acf,original,acf_vs_original,4.274148172278558e-06,3.296577239485232e-09,1296.5411885650146,7.167455373517684,129554.11885650146
heat,0.4,112,acf,original,acf_vs_original,1.8837235892243955e-06,4.064401830719544e-09,463.46883691145996,6.138739148466102,46246.883691145995
heat,0.4,113,acf,original,acf_vs_original,2.6225612694830147e-06,3.204384279621719e-09,818.4290773616613,6.707386743529304,81742.90773616612
heat,0.4,114,acf,original,acf_vs_original,5.2541840260822426e-06,6.24309892238023e-09,841.5987142614495,6.735303314251111,84059.87142614495
heat,0.4,115,acf,original,acf_vs_original,2.935938398118676e-06,3.742031042669458e-09,784.5841909489509,6.66515388438682,78358.41909489509
heat,0.4,116,acf,original,acf_vs_original,3.7196506818271136e-06,5.147379436749866e-09,722.6299765800358,6.582897302187487,72162.99765800357
heat,0.4,117,acf,original,acf_vs_original,3.282409320737312e-06,7.053329259196217e-09,465.370210309928,6.142833240031248,46437.0210309928
heat,0.4,118,acf,original,acf_vs_original,3.3843912825570754e-06,4.0469114257618566e-09,836.28993236983,6.728975362015163,83528.993236983
heat,0.4,119,acf,original,acf_vs_original,5.526038550307533e-06,4.285853885330204e-09,1289.366996206353,7.161906676307542,128836.69962063529
heat,0.4,100,frozen,original,frozen_vs_original,1.4500353728852389e-06,5.1079395244763015e-09,283.8787276037505,5.648547131484381,28287.872760375052
heat,0.4,101,frozen,original,frozen_vs_original,4.983286868154302e-07,6.345311769073714e-09,78.53494122136351,4.363543636855975,7753.4941221363515
heat,0.4,102,frozen,original,frozen_vs_original,3.7483580900277147e-07,3.728161080199244e-09,100.54174187740277,4.610572983332201,9954.174187740276
heat,0.4,103,frozen,original,frozen_vs_original,1.0391552707766929e-06,5.708483151456445e-09,182.03702160556713,5.204210081805889,18103.702160556713
heat,0.4,104,frozen,original,frozen_vs_original,6.394570681300671e-07,4.41033598530538e-09,144.99055633417686,4.976668611569792,14399.055633417685
heat,0.4,105,frozen,original,frozen_vs_original,5.84829247751717e-07,5.9129084684084185e-09,98.90720461450604,4.594182083442618,9790.720461450604
heat,0.4,106,frozen,original,frozen_vs_original,8.754971018570812e-07,5.1404592145420924e-09,170.31495929008545,5.137649424621701,16931.495929008546
heat,0.4,107,frozen,original,frozen_vs_original,7.879027065782473e-07,2.7923930953979714e-09,282.1603834634735,5.642475644955344,28116.03834634735
heat,0.4,108,frozen,original,frozen_vs_original,7.484740162377879e-07,5.062786292628352e-09,147.83835875663965,4.996119506347983,14683.835875663965
heat,0.4,109,frozen,original,frozen_vs_original,3.8725073131518073e-07,4.5148264866262674e-09,85.77311497181286,4.451705612074148,8477.311497181287
heat,0.4,110,frozen,original,frozen_vs_original,1.140461785564817e-06,6.793205704555549e-09,167.88271033806896,5.123265582831548,16688.271033806897
heat,0.4,111,frozen,original,frozen_vs_original,4.795850376826394e-07,3.296577239485232e-09,145.47969085581857,4.980036495122158,14447.969085581857
heat,0.4,112,frozen,original,frozen_vs_original,3.644707340377807e-07,4.064401830719544e-09,89.67389279353227,4.496179676462082,8867.389279353227
heat,0.4,113,frozen,original,frozen_vs_original,4.512018010327523e-07,3.204384279621719e-09,140.80764404636798,4.9473947323523335,13980.764404636799
heat,0.4,114,frozen,original,frozen_vs_original,7.386185754132413e-07,6.24309892238023e-09,118.3096062702843,4.773304970310447,11730.960627028431
heat,0.4,115,frozen,original,frozen_vs_original,7.01523960255912e-07,3.742031042669458e-09,187.4714432500979,5.2336265311450925,18647.14432500979
heat,0.4,116,frozen,original,frozen_vs_original,8.179812986258694e-07,5.147379436749866e-09,158.91218214570856,5.068351736089916,15791.218214570856
heat,0.4,117,frozen,original,frozen_vs_original,8.57001871357177e-07,7.053329259196217e-09,121.50317103654383,4.799940361506233,12050.317103654383
heat,0.4,118,frozen,original,frozen_vs_original,7.788936193797724e-07,4.0469114257618566e-09,192.46618901058375,5.259920496797602,19146.618901058373
heat,0.4,119,frozen,original,frozen_vs_original,7.242883782176968e-07,4.285853885330204e-09,168.99511686500108,5.129869820215691,16799.511686500107
heat,0.4,100,identity,original,identity_vs_original,4.2771402959829175e-05,5.1079395244763015e-09,8373.513968768917,9.032828904384631,837251.3968768917
heat,0.4,101,identity,original,identity_vs_original,2.7444081538874343e-05,6.345311769073714e-09,4325.095840465002,8.372189578765546,432409.5840465002
heat,0.4,102,identity,original,identity_vs_original,9.375457361215922e-05,3.728161080199244e-09,25147.672430277264,10.132520623741215,2514667.243027726
heat,0.4,103,identity,original,identity_vs_original,0.0001404541958436,5.708483151456445e-09,24604.468843490402,10.110683365726707,2460346.88434904
heat,0.4,104,identity,original,identity_vs_original,2.5187030175288783e-05,4.41033598530538e-09,5710.909613056336,8.650133591724057,570990.9613056335
heat,0.4,105,identity,original,identity_vs_original,0.0001147654384965,5.9129084684084185e-09,19409.304086080585,9.87350782214991,1940830.4086080585
heat,0.4,106,identity,original,identity_vs_original,8.886977099109572e-05,5.1404592145420924e-09,17288.29415467158,9.757784913004462,1728729.4154671582
heat,0.4,107,identity,original,identity_vs_original,1.704439906546895e-05,2.7923930953979714e-09,6103.868074147271,8.716677959714227,610286.807414727
heat,0.4,108,identity,original,identity_vs_original,9.479759364694472e-05,5.062786292628352e-09,18724.39170205038,9.837582321985934,1872339.170205038
heat,0.4,109,identity,original,identity_vs_original,9.919720541518018e-05,4.5148264866262674e-09,21971.432503335454,9.9974983659538,2197043.2503335453
heat,0.4,110,identity,original,identity_vs_original,1.3473151405207773e-05,6.793205704555549e-09,1983.3274585182407,7.592531247775535,198232.74585182406
heat,0.4,111,identity,original,identity_vs_original,8.587310509255985e-05,3.296577239485232e-09,26049.171262848715,10.167741233349114,2604817.1262848713
heat,0.4,112,identity,original,identity_vs_original,1.2371694282364842e-05,4.064401830719544e-09,3043.915143639873,8.02089984199639,304291.5143639873
heat,0.4,113,identity,original,identity_vs_original,5.1367806506164015e-05,3.204384279621719e-09,16030.476379764303,9.68224696317602,1602947.6379764304
heat,0.4,114,identity,original,identity_vs_original,9.65563227026678e-05,6.24309892238023e-09,15466.088861179689,9.646405090735023,1546508.886117969
heat,0.4,115,identity,original,identity_vs_original,3.2851498886543595e-05,3.742031042669458e-09,8779.055681779773,9.080124127516845,877805.5681779773
heat,0.4,116,identity,original,identity_vs_original,0.0001042242951712,5.147379436749866e-09,20248.030371937923,9.915812802220769,2024703.0371937922
heat,0.4,117,identity,original,identity_vs_original,2.616984136238898e-05,7.053329259196217e-09,3710.282109440506,8.218863192991025,370928.2109440506
heat,0.4,118,identity,original,identity_vs_original,3.32154898288195e-05,4.0469114257618566e-09,8207.614729933575,9.012817627947992,820661.4729933576
heat,0.4,119,identity,original,identity_vs_original,8.548591051749099e-05,4.285853885330204e-09,19946.062746118263,9.900787046756438,1994506.2746118263
heat,0.4,100,random,original,random_vs_original,2.5571232511456543e-06,5.1079395244763015e-09,500.6173700554583,6.215842076868445,49961.73700554583
heat,0.4,101,random,original,random_vs_original,2.668505153957668e-06,6.345311769073714e-09,420.54752407338617,6.04155749103738,41954.752407338616
heat,0.4,102,random,original,random_vs_original,6.176915688826945e-06,3.728161080199244e-09,1656.8263967008722,7.412659242294432,165582.63967008723
heat,0.4,103,random,original,random_vs_original,1.8805635810803525e-06,5.708483151456445e-09,329.43314908454295,5.797373447423807,32843.3149084543
heat,0.4,104,random,original,random_vs_original,2.288565781910501e-06,4.41033598530538e-09,518.9096226536211,6.251729730533261,51790.96226536211
heat,0.4,105,random,original,random_vs_original,3.9369042745818206e-06,5.9129084684084185e-09,665.8151898707675,6.501012139345634,66481.51898707675
heat,0.4,106,random,original,random_vs_original,2.242509060640385e-06,5.1404592145420924e-09,436.2468345817127,6.078208217517161,43524.68345817127
heat,0.4,107,random,original,random_vs_original,2.311355601525289e-06,2.7923930953979714e-09,827.7328880860432,6.718690503409132,82673.28880860432
heat,0.4,108,random,original,random_vs_original,1.6348037449875896e-06,5.062786292628352e-09,322.90593568366467,5.777361060016039,32190.593568366465
heat,0.4,109,random,original,random_vs_original,4.186245878168293e-06,4.5148264866262674e-09,927.2218745435091,6.832192883791591,92622.1874543509
heat,0.4,110,random,original,random_vs_original,2.7311928456619228e-06,6.793205704555549e-09,402.0477171522091,5.996570780958411,40104.77171522091
heat,0.4,111,random,original,random_vs_original,3.941079793789992e-06,3.296577239485232e-09,1195.506583793984,7.0863252940300026,119450.6583793984
heat,0.4,112,random,original,random_vs_original,1.6832430986823963e-06,4.064401830719544e-09,414.1428846823451,6.026211046363896,41314.28846823451
heat,0.4,113,random,original,random_vs_original,2.4117574497495298e-06,3.204384279621719e-09,752.6430163470408,6.6235910335111114,75164.30163470408
heat,0.4,114,random,original,random_vs_original,4.677721969215121e-06,6.24309892238023e-09,749.2628304264804,6.619089830409819,74826.28304264804
heat,0.4,115,random,original,random_vs_original,2.2782138129062712e-06,3.742031042669458e-09,608.8174541922182,6.411518475966035,60781.74541922182
heat,0.4,116,random,original,random_vs_original,1.6068911686956122e-06,5.147379436749866e-09,312.1765528344706,5.743568902232356,31117.65528344706
heat,0.4,117,random,original,random_vs_original,2.2806516262741106e-06,7.053329259196217e-09,323.34399011652107,5.77871674140944,32234.399011652105
heat,0.4,118,random,original,random_vs_original,1.802299232425697e-06,4.0469114257618566e-09,445.3517862912957,6.098864500852872,44435.17862912957
heat,0.4,119,random,original,random_vs_original,3.224095418141726e-06,4.285853885330204e-09,752.264427207211,6.623087894066306,75126.4427207211
heat,0.4,100,stencil,frozen,stencil_vs_frozen,4.219569057539729e-05,1.4500353728852389e-06,29.09976636738007,3.3707301455328484,2809.976636738007
heat,0.4,101,stencil,frozen,stencil_vs_frozen,2.7150051749913476e-05,4.983286868154302e-07,54.48221719567441,3.9978743584374126,5348.221719567441
heat,0.4,102,stencil,frozen,stencil_vs_frozen,9.23763489453222e-05,3.7483580900277147e-07,246.4448345825977,5.507138173640189,24544.483458259772
heat,0.4,103,stencil,frozen,stencil_vs_frozen,0.000137561319093,1.0391552707766929e-06,132.37802180436705,4.8856616312671965,13137.802180436705
heat,0.4,104,stencil,frozen,stencil_vs_frozen,2.490841393409937e-05,6.394570681300671e-07,38.95244133736425,3.662341449103855,3795.244133736425
heat,0.4,105,stencil,frozen,stencil_vs_frozen,0.0001132920480699,5.84829247751717e-07,193.71816390071677,5.26640433938107,19271.81639007168
heat,0.4,106,stencil,frozen,stencil_vs_frozen,8.692073828342473e-05,8.754971018570812e-07,99.2815831132402,4.597960086712409,9828.15831132402
heat,0.4,107,stencil,frozen,stencil_vs_frozen,1.6593962310906818e-05,7.879027065782473e-07,21.06092817344429,3.0474195785477707,2006.0928173444288
heat,0.4,108,stencil,frozen,stencil_vs_frozen,9.28127573729398e-05,7.484740162377879e-07,124.0026445266117,4.820302892205137,12300.264452661171
heat,0.4,109,stencil,frozen,stencil_vs_frozen,9.81899256800034e-05,3.8725073131518073e-07,253.556462880085,5.535586531484642,25255.646288008502
heat,0.4,110,stencil,frozen,stencil_vs_frozen,1.3318059181699482e-05,1.140461785564817e-06,11.67777767766561,2.4576876919738075,1067.777767766561
heat,0.4,111,stencil,frozen,stencil_vs_frozen,8.411684888187665e-05,4.795850376826394e-07,175.3950650510914,5.167040944143708,17439.50650510914
heat,0.4,112,stencil,frozen,stencil_vs_frozen,1.171101368413474e-05,3.644707340377807e-07,32.13156116650175,3.46983876100748,3113.1561166501747
heat,0.4,113,stencil,frozen,stencil_vs_frozen,4.9914956690599865e-05,4.512018010327523e-07,110.62667874186208,4.706161278280633,10962.667874186209
heat,0.4,114,stencil,frozen,stencil_vs_frozen,9.474074715853932e-05,7.386185754132413e-07,128.26748515704998,4.854117811265114,12726.748515704998
heat,0.4,115,stencil,frozen,stencil_vs_frozen,3.22252250271049e-05,7.01523960255912e-07,45.936029063568,3.827249756075478,4493.6029063568
heat,0.4,116,stencil,frozen,stencil_vs_frozen,0.0001008300691438,8.179812986258694e-07,123.26696137574893,4.814352421107494,12226.696137574894
heat,0.4,117,stencil,frozen,stencil_vs_frozen,2.5587526401693594e-05,8.57001871357177e-07,29.85702512081138,3.3964201595796157,2885.7025120811377
heat,0.4,118,stencil,frozen,stencil_vs_frozen,3.247202585043851e-05,7.788936193797724e-07,41.68993690858036,3.730259778544963,4068.9936908580357
heat,0.4,119,stencil,frozen,stencil_vs_frozen,8.443791972467807e-05,7.242883782176968e-07,116.58052547033809,4.758582239987054,11558.052547033809
heat,0.4,100,stencil,original,stencil_vs_original,4.219569057539729e-05,5.1079395244763015e-09,8260.804649938267,9.019277277017231,825980.4649938267
heat,0.4,101,stencil,original,stencil_vs_original,2.7150051749913476e-05,6.345311769073714e-09,4278.75772507185,8.361417995293387,427775.77250718494
heat,0.4,102,stencil,original,stencil_vs_original,9.23763489453222e-05,3.728161080199244e-09,24777.992945622766,10.117711156972389,2477699.2945622765
heat,0.4,103,stencil,original,stencil_vs_original,0.000137561319093,5.708483151456445e-09,24097.700815303804,10.089871713073086,2409670.0815303805
heat,0.4,104,stencil,original,stencil_vs_original,2.490841393409937e-05,4.41033598530538e-09,5647.7361400788295,8.639010060673646,564673.614007883
heat,0.4,105,stencil,original,stencil_vs_original,0.0001132920480699,5.9129084684084185e-09,19160.12207447461,9.860586422823689,1915912.2074474609
heat,0.4,106,stencil,original,stencil_vs_original,8.692073828342473e-05,5.1404592145420924e-09,16909.13878618674,9.735609511334111,1690813.8786186741
heat,0.4,107,stencil,original,stencil_vs_original,1.6593962310906818e-05,2.7923930953979714e-09,5942.559569515713,8.689895223503115,594155.9569515713
heat,0.4,108,stencil,original,stencil_vs_original,9.28127573729398e-05,5.062786292628352e-09,18332.347448297278,9.81642239855312,1833134.7448297278
heat,0.4,109,stencil,original,stencil_vs_original,9.81899256800034e-05,4.5148264866262674e-09,21748.32764245973,9.987292143558792,2174732.764245973
heat,0.4,110,stencil,original,stencil_vs_original,1.3318059181699482e-05,6.793205704555549e-09,1960.496967251903,7.580953274805356,195949.6967251903
heat,0.4,111,stencil,original,stencil_vs_original,8.411684888187665e-05,3.296577239485232e-09,25516.419841268966,10.147077439265866,2551541.9841268966
heat,0.4,112,stencil,original,stencil_vs_original,1.171101368413474e-05,4.064401830719544e-09,2881.362171333702,7.966018437469561,288036.2171333702
heat,0.4,113,stencil,original,stencil_vs_original,4.9914956690599865e-05,3.204384279621719e-09,15577.082002316021,9.653556010632967,1557608.2002316022
heat,0.4,114,stencil,original,stencil_vs_original,9.474074715853932e-05,6.24309892238023e-09,15175.275666210118,9.62742278157556,1517427.5666210118
heat,0.4,115,stencil,original,stencil_vs_original,3.22252250271049e-05,3.742031042669458e-09,8611.693665725537,9.06087628722057,861069.3665725538
heat,0.4,116,stencil,original,stencil_vs_original,0.0001008300691438,5.147379436749866e-09,19588.621818691037,9.882704157197411,1958762.1818691038
heat,0.4,117,stencil,original,stencil_vs_original,2.5587526401693594e-05,7.053329259196217e-09,3627.723229896331,8.196360521085849,362672.3229896331
heat,0.4,118,stencil,original,stencil_vs_original,3.247202585043851e-05,4.0469114257618566e-09,8023.903276886138,8.990180275342565,802290.3276886138
heat,0.4,119,stencil,original,stencil_vs_original,8.443791972467807e-05,4.285853885330204e-09,19701.53952604302,9.888452060202745,1970053.952604302
heat,0.4,100,uniform,original,uniform_vs_original,2.6666272077147117e-06,5.1079395244763015e-09,522.0553600794856,6.257773636051451,52105.536007948554
heat,0.4,101,uniform,original,uniform_vs_original,2.677481970553286e-06,6.345311769073714e-09,421.96224046909896,6.044915832471279,42096.2240469099
heat,0.4,102,uniform,original,uniform_vs_original,2.256361862906786e-06,3.728161080199244e-09,605.2211303021809,6.405593895881999,60422.11303021809
heat,0.4,103,uniform,original,uniform_vs_original,2.234854499127969e-06,5.708483151456445e-09,391.4970824706341,5.969978063220802,39049.70824706341
heat,0.4,104,uniform,original,uniform_vs_original,1.881201542097699e-06,4.41033598530538e-09,426.54381624565525,6.055715096111313,42554.381624565525
heat,0.4,105,uniform,original,uniform_vs_original,3.2505734461341085e-06,5.9129084684084185e-09,549.7418848103812,6.309448867725883,54874.188481038116
heat,0.4,106,uniform,original,uniform_vs_original,1.801837018033936e-06,5.1404592145420924e-09,350.5206330470695,5.859419572208698,34952.06330470695
heat,0.4,107,uniform,original,uniform_vs_original,2.202475683443783e-06,2.7923930953979714e-09,788.7412725212624,6.670438348844935,78774.12725212624
heat,0.4,108,uniform,original,uniform_vs_original,2.104374714539947e-06,5.062786292628352e-09,415.6554499651729,6.029856671800611,41465.54499651729
heat,0.4,109,uniform,original,uniform_vs_original,3.2172654587658837e-06,4.5148264866262674e-09,712.6000231229275,6.568920285620412,71160.00231229275
heat,0.4,110,uniform,original,uniform_vs_original,2.630958102767256e-06,6.793205704555549e-09,387.29257101738074,5.959180404868578,38629.257101738076
heat,0.4,111,uniform,original,uniform_vs_original,1.993882036616101e-06,3.296577239485232e-09,604.8340116937318,6.404954059550215,60383.40116937318
heat,0.4,112,uniform,original,uniform_vs_original,1.7101135224573127e-06,4.064401830719544e-09,420.75404787290967,6.042048453637614,41975.404787290965
heat,0.4,113,uniform,original,uniform_vs_original,1.6858840468092495e-06,3.204384279621719e-09,526.117937080964,6.265525402588109,52511.7937080964
heat,0.4,114,uniform,original,uniform_vs_original,2.9016628342593e-06,6.24309892238023e-09,464.7792499102382,6.141562561490908,46377.92499102382
heat,0.4,115,uniform,original,uniform_vs_original,2.2215763025301705e-06,3.742031042669458e-09,593.681954317878,6.386343745527296,59268.1954317878
heat,0.4,116,uniform,original,uniform_vs_original,1.833883115143209e-06,5.147379436749866e-09,356.2750983636735,5.87570318064842,35527.50983636735
heat,0.4,117,uniform,original,uniform_vs_original,2.6938378427376897e-06,7.053329259196217e-09,381.92430038983804,5.9452224224502475,38092.4300389838
