pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_difference,mse_ratio,log_mse_ratio,excess_comparison,excess_baseline,excess_difference,mse_sign
heat,0.25,108,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,5.3786548008361024e-05,3.5493632413556575e-07,5.343161168422546e-05,151.53858410901213,5.020840273111367,23.909681069650983,0.1556377179712261,23.754043351679755,higher
heat,0.25,109,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,3.294005216325502e-05,2.109270450731393e-07,3.272912511818188e-05,156.1679876178657,5.05093227157352,23.63654296019481,0.1484351348148959,23.488107825379913,higher
heat,0.25,110,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.6245793821312304e-06,3.9314165034554094e-08,1.5852652170966763e-06,41.323003571444325,3.721419332109232,1.6351109877992906,0.037847352715885,1.5972636350834057,higher
heat,0.25,111,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,4.253235383799847e-05,3.112913286168473e-07,4.2221062509381624e-05,136.6319904476022,4.917291110403561,24.811476939071422,0.1790409700259163,24.632435969045506,higher
heat,0.25,112,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,3.658415732843423e-05,2.0038398919515482e-07,3.6383773339239076e-05,182.57026160311023,5.20713509401649,26.928806739490497,0.144939113940327,26.78386762555017,higher
heat,0.25,113,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.5186832026614638e-05,1.3711958756282286e-07,1.5049712439051816e-05,110.7561092951554,4.707330570339766,8.149951254038966,0.0715464494110417,8.078404804627924,higher
heat,0.25,114,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,6.583307458640775e-05,2.7853406036129624e-07,6.555454052604645e-05,236.35556276677033,5.4653372931026185,46.14281725713244,0.1926466824660408,45.9501705746664,higher
heat,0.25,115,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,3.80752235713544e-05,2.296875062091086e-07,3.784553606514529e-05,165.76967637364888,5.110599333173597,36.488688450961206,0.2171094521341645,36.27157899882704,higher
heat,0.25,116,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,3.2010282147609814e-05,3.3036584095452737e-07,3.167991630665529e-05,96.89343805982597,4.573611797922861,25.50001085711481,0.2605779760211067,25.239432881093702,higher
heat,0.25,117,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,4.694774997915374e-05,2.3433530664182525e-07,4.6713414672511916e-05,200.34432989183324,5.300037535667613,51.47356742583588,0.2529721905377057,51.22059523529818,higher
heat,0.25,118,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,2.57826069933742e-05,1.9329077649912765e-07,2.558931621687507e-05,133.38767353697583,4.893259726940625,15.198058157042183,0.1118004831509483,15.086257673891234,higher
heat,0.25,119,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,4.583978154926172e-05,1.8285926068478678e-07,4.5656922288576936e-05,250.68340196497044,5.524190796211297,46.85621444666522,0.1845526753536157,46.671661771311605,higher
