pde,r,seed,reference_scope,scope_label,evaluation_scope,weighting,n_modes,mode_min,mode_max,rmse_reference,rmse_identity,delta_identity_minus_pde,closer_reference
heat,0.25,107,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0085759145537223,0.0076547937178211,-0.000921120835901199,identity
heat,0.25,108,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0059910954311029,0.0092796543650676,0.0032885589339646994,PDE reference
heat,0.25,109,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0082315200287577,0.0076277207094507,-0.0006037993193070005,identity
heat,0.25,110,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0074123632298454,0.008275160972109,0.0008627977422635998,PDE reference
heat,0.25,111,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0088839463751557,0.0067967682722554,-0.0020871781029002997,identity
heat,0.25,112,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0063165300995766,0.0090865855763026,0.0027700554767260003,PDE reference
heat,0.25,113,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0062522230138943,0.0092996200936803,0.0030473970797859993,PDE reference
heat,0.25,114,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0081542137453548,0.0076668673201064,-0.0004873464252483995,identity
heat,0.25,115,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0069085356952073,0.0084306766936519,0.0015221409984445995,PDE reference
heat,0.25,116,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0075229371326396,0.0078272135714431,0.0003042764388035005,PDE reference
heat,0.25,117,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0078154859284293,0.0078086715381071,-6.814390322198993e-06,identity
heat,0.25,118,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0066334204058253,0.0089928844251453,0.002359464019320001,PDE reference
heat,0.25,119,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0074405361796052,0.0080933877842164,0.0006528516046112008,PDE reference
heat,0.25,100,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0223660482251861,0.013080445152954,-0.009285603072232099,identity
heat,0.25,101,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0176207278365467,0.0168770901886016,-0.0007436376479450987,identity
heat,0.25,102,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0213732626101802,0.0127129052530134,-0.008660357357166798,identity
