pde,r,seed,target,substitution,mse,mse_original,mse_persistence,excess,ratio,skill
wave,0.25,211,layer0,frozen,0.002800019603455439,0.0026776828162837774,0.002781704068183899,1.1760749360056382,1.0456875573266915,0.037394794467850885
wave,0.25,211,layer0,original,0.0026776828162837774,0.0026776828162837774,0.002781704068183899,0.0,1.0,0.037394794467850885
wave,0.25,211,layer1,stencil,0.0031080397311598063,0.0026776828162837774,0.002781704068183899,4.137201841112681,1.1607199001535589,0.037394794467850885
wave,0.25,211,layer1,acf,0.0029263707692734897,0.0026776828162837774,0.002781704068183899,2.3907417806170597,1.0928743133717584,0.037394794467850885
wave,0.25,211,layer1,xcorr,0.002926499641034752,0.0026776828162837774,0.002781704068183899,2.391980679004729,1.0929224414623893,0.037394794467850885
wave,0.25,211,layer1,uniform,0.0028647260915022343,0.0026776828162837774,0.002781704068183899,1.7981255926245816,1.0698526629371454,0.037394794467850885
wave,0.25,211,layer1,random,0.0028475650760810822,0.0026776828162837774,0.002781704068183899,1.633149541022841,1.0634437577013232,0.037394794467850885
wave,0.25,211,layer1,identity,0.003101027657976374,0.0026776828162837774,0.002781704068183899,4.069791835413413,1.1581011907452639,0.037394794467850885
wave,0.25,211,layer1,frozen,0.002899503684602678,0.0026776828162837774,0.002781704068183899,2.1324572072242214,1.0828406064265501,0.037394794467850885
wave,0.25,211,layer1,original,0.0026776828162837774,0.0026776828162837774,0.002781704068183899,0.0,1.0,0.037394794467850885
wave,0.25,211,layer2,stencil,0.0068262998829595745,0.0026776828162837774,0.002781704068183899,39.8823989415085,2.549331026605106,0.037394794467850885
wave,0.25,211,layer2,acf,0.0029733702540397644,0.0026776828162837774,0.002781704068183899,2.8425675749403423,1.1104266106343232,0.037394794467850885
wave,0.25,211,layer2,xcorr,0.0029739034944213927,0.0026776828162837774,0.002781704068183899,2.8476938387747777,1.1106257531086992,0.037394794467850885
wave,0.25,211,layer2,uniform,0.002797489520162344,0.0026776828162837774,0.002781704068183899,1.1517521822713865,1.0447426794353636,0.037394794467850885
wave,0.25,211,layer2,random,0.0028013691189698875,0.0026776828162837774,0.002781704068183899,1.1890483956573645,1.046191543648836,0.037394794467850885
wave,0.25,211,layer2,identity,0.0067366245202720165,0.0026776828162837774,0.002781704068183899,39.02031200206595,2.515841114303987,0.037394794467850885
wave,0.25,211,layer2,frozen,0.002799466805299744,0.0026776828162837774,0.002781704068183899,1.1707606550717193,1.0454811108602418,0.037394794467850885
wave,0.25,211,layer2,original,0.0026776828162837774,0.0026776828162837774,0.002781704068183899,0.0,1.0,0.037394794467850885
