pde,r,seed,layer,head,window_mass,centrality,asymmetry,width,shift,pred_stencil_centrality,pred_stencil_asymmetry,pred_stencil_width,pred_stencil_shift,pred_acf_centrality,pred_acf_asymmetry,pred_acf_width,pred_acf_shift,pred_xcorr_centrality,pred_xcorr_asymmetry,pred_xcorr_width,pred_xcorr_shift,label,entropy
heat,0.1,101,2,2,0.14066954515874386,0.33399088563428886,-0.0015847384246518252,2.5855828049265632,0.005050642144588724,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.9998312254473988
heat,0.1,101,2,3,0.13528721407055855,0.33325702168178645,0.0005477474268964603,2.5898900567936183,-0.0030442325720549945,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.9998619291541094
heat,0.1,101,3,0,0.029955782927572727,0.3307950784123518,-0.013392912101710562,2.6425153868692535,-0.052214228004752006,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.953893401385564
heat,0.1,101,3,1,0.013348509441129863,0.4087998350208397,0.034691871566132654,1.749779612197001,0.029898731867084777,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8577076829739234
heat,0.1,101,3,2,0.0026938801165670156,0.329662027496524,0.0168329010514195,2.748192300095246,0.10283806737817136,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9063435798710308
heat,0.1,101,3,3,0.010288042365573347,0.33119584970827187,0.03983434770582207,2.7452535725771816,0.13264416682034175,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9365250642148342
heat,0.1,102,0,0,0.14164485223591328,0.33084633849144235,0.004509485221437018,2.6086565613544805,0.0026322571815076135,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.9999107335393196
heat,0.1,102,0,1,0.15223016776144505,0.3333928797940504,-0.010943248395714136,2.5716386651956844,-0.004414560800981404,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.9996869680901398
heat,0.1,102,0,2,0.17755798809230328,0.33228500353049256,0.008763221835350435,2.589687952829736,0.030494351686977617,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9971232322409688
heat,0.1,102,0,3,0.1341137047857046,0.33259415166044454,0.004000463024404781,2.5871564027588314,0.00926482381045568,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.9998643975083372
heat,0.1,102,1,0,1.3178040944694658e-05,0.38834154166755935,-0.16995429030773013,2.811075013635469,-0.3716861679505672,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8029873101599106
