pde,r,seed,condition,device,device_name,weight_minus,weight_center,weight_plus,initial_minus,initial_center,initial_plus,stencil_minus,stencil_center,stencil_plus,coefficient_l1,coefficient_l2,coefficient_max_abs,initial_coefficient_l2,centrality,asymmetry,target_centrality,target_asymmetry,mse_fitted,mse_fixed,mse_initial,mse_stencil,mse_persistence,skill,excess_initial,excess_stencil,train_rows,statistics_seconds,fit_seconds,total_seconds,label
heat,0.4,105,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.3999991129369853,0.2000019845699002,0.39999890249311454,0.3344925908541331,0.3397072744568856,0.3258001346889814,0.4,0.19999999999999996,0.4,3.969139800441557e-06,2.435142674407746e-06,1.984569900248534e-06,0.17121613008519054,0.2000019845699002,-2.630554910324589e-07,0.19999999999999996,0.0,2.911656054874589e-17,2.911656054874589e-17,1.0086504436903309e-07,4.017045338700737e-18,2.884022362516437e-06,0.9999999999899042,0.03497373864082165,-8.702954434929596e-12,102400000,3.2889470000000074,0.1374031000004834,3.707790099999329,stencil
heat,0.4,106,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.3999991810910868,0.20000151973237776,0.39999929917653554,0.3527701157774464,0.33395826029925346,0.3132716239233001,0.4,0.19999999999999996,0.4,3.039464755522081e-06,1.863156417665908e-06,1.519732377802674e-06,0.16642502420904098,0.20000151973237776,1.4760709134482067e-07,0.19999999999999996,0.0,1.1791569425532846e-17,1.1791569425532846e-17,2.3849532474819617e-07,3.5641460258235066e-18,1.8490918479751555e-06,0.9999999999936231,0.12897970698377656,-4.449440090697079e-12,102400000,3.039665299999797,0.056369099999756145,3.3638554999997723,stencil
heat,0.4,107,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.39999958834316546,0.200000781889929,0.3999996297669055,0.2603396636271565,0.3452735819246609,0.39438675444818255,0.4,0.19999999999999996,0.4,1.5637798581324969e-06,9.580635442765875e-07,7.818899290523706e-07,0.20159596148390965,0.200000781889929,5.177972566909378e-08,0.19999999999999996,0.0,6.927949450162004e-18,6.927949450162004e-18,2.916294384749595e-06,4.066264785011386e-18,2.6158249955735562e-06,0.9999999999973516,1.1148660134700457,-1.0939893417949135e-12,102400000,3.243892099999357,0.10746299999937037,3.5603025999998863,stencil
heat,0.4,108,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.39999981380252997,0.20000036980275765,0.3999998163947124,0.5003193721322279,0.2799585039813545,0.21972212388641757,0.4,0.19999999999999996,0.4,7.396055153874315e-07,4.529177398840181e-07,3.6980275769371573e-07,0.2212633078482849,0.20000036980275765,3.2402295142617786e-09,0.19999999999999996,0.0,4.567307671130718e-18,4.567307671130718e-18,1.1930713266719233e-05,3.9620453862426686e-18,2.7871346281045203e-06,0.9999999999983613,4.280637593329346,-2.171629166333703e-13,102400000,3.3077410999994754,0.0560486000003948,3.6338213999997606,stencil
heat,0.4,109,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.3999997203041283,0.20000021695920028,0.40000006273667144,0.29347567312808825,0.3611147128380483,0.34540961403386344,0.4,0.19999999999999996,0.4,5.593917434820739e-07,3.594954314255039e-07,2.7969587174103694e-07,0.20071246385895533,0.20000021695920028,4.2804079502732257e-07,0.19999999999999996,0.0,1.6537163011469054e-17,1.6537163011469054e-17,3.7355415619442465e-07,3.1347472377090425e-18,1.900375144249071e-06,0.999999999991298,0.19656863925609136,-7.052510560578067e-12,102400000,3.284958700000061,0.10987559999921359,3.6532650999997713,stencil
heat,0.4,110,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.399998981088093,0.20000210888783365,0.3999989100240733,0.41417564504240983,0.3683404067691952,0.21748394818839492,0.4,0.19999999999999996,0.4,4.217775667447743e-06,2.5833383228361712e-06,2.108887833696116e-06,0.24869971980780967,0.20000210888783365,-8.883025882174366e-08,0.19999999999999996,0.0,1.907903710983998e-17,1.907903710983998e-17,5.316525052312498e-06,3.4317815722319774e-18,2.2005668185298228e-06,0.9999999999913299,2.4159798319105037,-7.11055688288413e-12,102400000,3.299314900000354,0.07731800000055955,3.596113100000366,stencil
heat,0.4,111,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.3999998108443726,0.20000040384500625,0.39999978531062114,0.2162058422639264,0.3334072929242092,0.4503868648118644,0.4,0.19999999999999996,0.4,8.076900126219311e-07,4.949365311929581e-07,4.0384500629708775e-07,0.2326298226127673,0.20000040384500625,-3.19172054201777e-08,0.19999999999999996,0.0,4.6647530051250504e-18,4.6647530051250504e-18,8.004158969647113e-06,4.0184740621829294e-18,2.334373266678759e-06,0.9999999999980017,3.4288256655056704,-2.768533002705728e-13,102400000,3.287740599999779,0.10805209999944054,3.641771300000073,stencil
heat,0.4,112,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.39999980711529437,0.2000002726645569,0.3999999202201488,0.3497236526523424,0.4195149524607564,0.2307613948869012,0.4,0.19999999999999996,0.4,5.453291138102223e-07,3.433879656356704e-07,2.7266455693286673e-07,0.2817023800344929,0.2000002726645569,1.4138111622043247e-07,0.19999999999999996,0.0,5.518302584336431e-18,5.518302584336431e-18,2.4353345914584024e-06,3.099030321604367e-18,3.1029166639240185e-06,0.9999999999982215,0.7848533670825165,-7.796768411037183e-13,102400000,3.285971100000097,0.07017769999947632,3.5589325000000827,stencil
heat,0.4,113,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.39999929400631834,0.200001228088725,0.3999994779049566,0.32684497616611696,0.3250851709034707,0.34806985293041226,0.4,0.19999999999999996,0.4,2.456177450149699e-06,1.5097060076475647e-06,1.228088725047094e-06,0.15393082104229647,0.20000122808872503,2.2987365070885822e-07,0.19999999999999996,0.0,9.928434283089551e-18,9.928434283089551e-18,8.060572679737457e-08,3.1999726750644226e-18,1.4356168192599281e-06,0.9999999999930842,0.056147103953237666,-4.686808846068157e-12,102400000,3.30137570000079,0.08685150000019348,3.5675203000000693,stencil
heat,0.4,114,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.3999997407115879,0.20000044035126274,0.39999981893714937,0.26878382080812224,0.3369747466460399,0.3942414325458379,0.4,0.19999999999999996,0.4,8.807025255741507e-07,5.421470936850345e-07,4.4035126278707537e-07,0.18977072482231272,0.20000044035126274,9.77820056641065e-08,0.19999999999999996,0.0,5.139732921245927e-18,5.139732921245927e-18,2.2459082370424487e-06,3.579025513447342e-18,2.339706252011278e-06,0.9999999999978032,0.9599103456306091,-6.670527150407814e-13,102400000,3.3267600000008315,0.08183089999965887,3.667299300000195,stencil
heat,0.4,115,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.4000002010696738,0.1999997854954088,0.4000000134349173,0.3308973586669192,0.38611794357421153,0.2829846977588692,0.4,0.19999999999999996,0.4,4.29009182234541e-07,2.9431569843759677e-07,2.1450459114502607e-07,0.23045095989838058,0.1999997854954088,-2.345433827491568e-07,0.19999999999999996,0.0,8.446822301207934e-18,8.446822301207934e-18,4.721778548357759e-07,3.4489539317301477e-18,2.739316825819427e-06,0.9999999999969165,0.17237066204911872,-1.8244944587591316e-12,102400000,3.2961075000002893,0.11417799999981071,3.598666900000353,stencil
heat,0.4,116,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.3999989168043837,0.20000192894073432,0.3999991542548819,0.4389968773703235,0.29855924457181293,0.26244387805786346,0.4,0.19999999999999996,0.4,3.857881468782853e-06,2.368419283971476e-06,1.928940734363671e-06,0.17365588909957083,0.20000192894073432,2.968138384307992e-07,0.19999999999999996,0.0,2.3530182564596798e-17,2.3530182564596798e-17,4.165359335188974e-06,3.840443259082233e-18,2.029467104642445e-06,0.9999999999884057,2.0524399364174952,-9.701925821168618e-12,102400000,3.29858940000031,0.10472010000012233,3.6356521999996403,stencil
heat,0.4,117,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.3999979890741555,0.20000362924614462,0.39999838167969975,0.3113509751724119,0.36793612569810213,0.32071289912948603,0.4,0.19999999999999996,0.4,7.2584922894414206e-06,4.45356159999369e-06,3.629246144665199e-06,0.20578541319010482,0.20000362924614468,4.907591566592048e-07,0.19999999999999996,0.0,6.778459693121385e-17,6.778459693121385e-17,1.095484864072859e-07,3.21316785088827e-18,2.2202268890132636e-06,0.9999999999694695,0.04934112224518304,-2.9083256941813945e-11,102400000,3.281836299999668,0.12471599999935279,3.6766772000000856,stencil
heat,0.4,118,heat_r0.4,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.39999913856206365,0.20000162890735104,0.3999992325305853,0.2819267757831649,0.34853514250753276,0.36953808170930225,0.4,0.19999999999999996,0.4,3.2578147022011006e-06,1.996102146487055e-06,1.6289073510866725e-06,0.19217675016151473,0.20000162890735104,1.174608912043513e-07,0.19999999999999996,0.0,1.0939078607809912e-17,1.0939078607809912e-17,9.582367721761674e-07,3.238755143975776e-18,1.636099273754023e-06,0.9999999999933139,0.5856837586468484,-4.7065135883944625e-12,102400000,3.2520839999997406,0.055992899999182555,3.541916499999388,stencil
heat,0.4,119,heat_r0.4,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.3999994273366356,0.2000011668607048,0.3999994058026595,0.2937277125487993,0.38945077385633686,0.3168215135948639,0.4,0.19999999999999996,0.4,2.33372140973076e-06,1.4291877808284666e-06,1.1668607048376245e-06,0.23260278458248293,0.2000011668607048,-2.6917509389070713e-08,0.19999999999999996,0.0,7.47698216265384e-18,7.47698216265384e-18,1.685331241925137e-07,3.3393520244772057e-18,1.8698379661233269e-06,0.9999999999960013,0.09013247524068879,-2.2128281771770793e-12,102400000,3.300623799999812,0.09030239999992773,3.660536299999876,stencil
lf,0.1,300,lf_r0.1,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.5498843011905555,0.00023120689660186263,0.4498844919128427,0.4017151332738966,0.29902918786126553,0.2992556788648379,0.55,0.0,0.45,0.00046241379320369474,0.0002831694929576365,0.00023120689660186263,0.36623859333424597,0.00023120689660186263,-0.10002293527016566,0.0,-0.10000000000000003,1.0953721933304835e-13,1.0953721933304835e-13,1.8374902893408724e-07,3.10850588201213e-18,2.917236669448262e-06,0.99999996245172,0.06298732229054167,-3.7547215859143915e-08,102400000,3.2764687999997477,1.8234021999996912,5.258840899999996,stencil
