pde,r,seed,layer,head,is_baseline,entropy,peak,window_mass,d_stencil,d_acf,d_spectral,spectral_kmax,z_stencil,z_acf,z_spectral,label,best_z,gate_threshold,floor_threshold
wave,0.25,211,1,2,False,0.9899841468151552,0.025410545989871025,0.10437603760510683,0.38098605718963074,0.02547760248533135,0.020727996661817932,5,7.763439182926075,12.584935680543586,12.955128140895598,no_fit,7.763439182926075,0.9996896743994793,-1.9827702415236381
wave,0.25,211,1,3,False,0.9948910028108126,0.021246125921607018,0.10547432210296392,0.3657028343094719,0.017182094079569353,0.013254171887018742,5,0.5619289608999019,0.7119176316845889,0.738102906037387,no_fit,0.5619289608999019,0.9996896743994793,-1.9827702415236381
wave,0.25,211,2,0,False,0.997731079536341,0.019200535491108894,0.13617590069770813,0.37267334396006246,0.020362659117078977,0.016070795611263088,5,3.846458467214228,5.26412881016906,5.342273347953862,no_fit,3.846458467214228,0.9996896743994793,-1.9827702415236381
wave,0.25,211,2,1,False,0.8310451566086332,0.08061155676841736,0.011412727064453065,0.39363963369033744,0.03791168960697429,0.032039616991934215,5,13.725850464209602,30.381330258820313,31.445573820882636,no_fit,13.725850464209602,0.9996896743994793,-1.9827702415236381
wave,0.25,211,2,2,False,0.9981395022446753,0.019738979637622833,0.11300603859126568,0.3881541386691855,0.02725036339395247,0.022299741623915667,5,11.141065253821523,15.122215041233577,15.52436791347579,no_fit,11.141065253821523,0.9996896743994793,-1.9827702415236381
wave,0.25,211,2,3,False,0.9995560358912029,0.01785137876868248,0.13634511083364487,0.362592731005593,0.01600201945402404,0.012203582196076281,5,-0.9035630305516096,-0.9770743676928162,-0.9792347560662562,no_fit,-0.9792347560662562,0.9996896743994793,-1.9827702415236381
wave,0.25,211,3,0,False,0.9888190781366316,0.02355283871293068,0.07681732252240181,0.39041319412352343,0.02871413662862909,0.02361029075000646,5,12.205540402427703,17.21725312505742,17.666646094650137,no_fit,12.205540402427703,0.9996896743994793,-1.9827702415236381
wave,0.25,211,3,1,False,0.9877562550329735,0.032276228070259094,0.11467744689434767,0.356440298670556,0.013573272036608021,0.010087862008878833,5,-3.802611529583456,-4.453240084440257,-4.437679086209741,acf_or_spectral,-4.453240084440257,0.9996896743994793,-1.9827702415236381
wave,0.25,211,3,2,False,0.9520743313839128,0.03482324630022049,0.06030645780265331,0.4416608041287643,0.061852868030500815,0.0543903782292023,5,36.35360067748127,64.64734864246071,67.98105896828919,no_fit,36.35360067748127,0.9996896743994793,-1.9827702415236381
wave,0.25,211,3,3,False,0.9583306302838375,0.030481435358524323,0.024776725564152002,0.3842163218457483,0.027125482786019197,0.022150204745652085,5,9.285551640703602,14.943478592613458,15.279928704591986,no_fit,9.285551640703602,0.9996896743994793,-1.9827702415236381
wave,0.25,212,0,0,False,0.8916089664748205,0.05377688631415367,0.013988490332849324,0.42139523878977136,0.050916914098363276,0.0441578789048529,5,26.80439256291765,48.99517013010193,51.25458942584463,no_fit,26.80439256291765,0.9996896743994793,-1.9827702415236381
wave,0.25,212,0,1,False,0.7822285956508918,0.10270676016807556,0.31676211953163147,0.5146229808971039,0.11680137424398393,0.10685103026131273,5,70.73364380965458,143.29287271635238,153.7354255778046,no_fit,70.73364380965458,0.9996896743994793,-1.9827702415236381
wave,0.25,212,0,2,False,0.9806179262772028,0.028102310374379158,0.06313838018104434,0.3255200118685384,0.011376154406835906,0.008413546416054152,5,-18.37236315977081,-7.597883667180911,-7.174585083474749,acf_or_spectral,-18.37236315977081,0.9996896743994793,-1.9827702415236381
wave,0.25,212,0,3,False,0.9163615878187052,0.043104663491249084,0.1575419120490551,0.405431285808443,0.03490009771869216,0.029313345549206154,5,19.282119840700656,26.070963359482988,26.989096981180847,no_fit,19.282119840700656,0.9996896743994793,-1.9827702415236381
wave,0.25,212,1,0,False,0.7533707794928902,0.14469197392463684,0.01942226872779429,0.31491279716770937,0.003680834632979053,0.002036203890372546,5,-23.37052131621672,-18.611876553172248,-17.59925476937596,acf_or_spectral,-23.37052131621672,0.9996896743994793,-1.9827702415236381
wave,0.25,212,1,1,False,0.9667854156383296,0.03669381141662598,0.08019397919997573,0.3892549753648156,0.030186657090381822,0.024945658159784705,5,11.659783509684537,19.324810753178276,19.849493275932417,no_fit,11.659783509684537,0.9996896743994793,-1.9827702415236381
wave,0.25,212,1,2,False,0.9896105933710077,0.028158940374851227,0.10723744425922632,0.35988024756656356,0.01537142056068792,0.011650698606566225,5,-2.1816950951311993,-1.8796244798679507,-1.88300129709609,no_fit,-2.1816950951311993,0.9996896743994793,-1.9827702415236381
wave,0.25,212,1,3,False,0.9949649285770668,0.021274590864777565,0.11545700021088123,0.3926379436171338,0.0291228230759846,0.023991595535437976,5,13.25385045753278,17.802189132403957,18.289942776891955,no_fit,13.25385045753278,0.9996896743994793,-1.9827702415236381
wave,0.25,212,2,0,False,0.9955543224753902,0.022187329828739166,0.10409182962030172,0.4035095272903585,0.034201676550239354,0.02874335403912146,5,18.376580235555036,25.07134203030857,26.057365120696232,no_fit,18.376580235555036,0.9996896743994793,-1.9827702415236381
wave,0.25,212,2,1,False,0.9990264955522131,0.018322505056858063,0.1221916414797306,0.366759571673019,0.017909408051684585,0.013884721950814218,5,1.0598674510504837,1.7528920356299085,1.768826300464007,no_fit,1.0598674510504837,0.9996896743994793,-1.9827702415236381
wave,0.25,212,2,2,False,0.8227553919672936,0.07950825244188309,0.008584664203226566,0.4256744102658493,0.05980542574652679,0.05247768228950038,5,28.820753730219934,61.716929191045814,64.85448652833296,no_fit,28.820753730219934,0.9996896743994793,-1.9827702415236381
wave,0.25,212,2,3,False,0.9981054851949448,0.018646856769919395,0.10993419401347637,0.38961145583493334,0.02716810938960639,0.022219036835260293,5,11.827758404092329,15.004488287136915,15.392444504874993,no_fit,11.827758404092329,0.9996896743994793,-1.9827702415236381
wave,0.25,212,3,0,False,0.9951550627297525,0.024414539337158203,0.12560589611530304,0.3551401576153421,0.012954022046258796,0.009556848198768635,5,-4.415242724758518,-5.339546981202028,-5.305696375034765,acf_or_spectral,-5.339546981202028,0.9996896743994793,-1.9827702415236381
