pde,r,seed,checkpoint,validation_path,test_path,n_validation_pairs,n_test_pairs,n_layers,n_heads,head_dispersion,patched_noop_max_abs,mse_original,mse_persistence,skill,target,substitution,preserves_head_identity,calibration_split,evaluation_split,mse,excess,ratio
lf,0.1,316,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_316\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_316\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_316\test.npy,2048,2048,4,4,0.01028492037103915,1.1920928955078125e-07,4.882869187108896e-09,4.7975363486330025e-06,0.9989822131960501,all,original,True,none,test,4.882869187108896e-09,0.0,1.0
lf,0.1,317,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_317\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_317\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_317\test.npy,2048,2048,4,4,0.010485030915307602,5.960464477539063e-08,4.179223666786469e-09,3.7272143345035147e-06,0.998878727303633,all,frozen_per_head_validation,True,validation,test,4.6010568128043716e-08,0.01123581787867048,11.009357669392848
lf,0.1,317,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_317\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_317\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_317\test.npy,2048,2048,4,4,0.010485030915307602,5.960464477539063e-08,4.179223666786469e-09,3.7272143345035147e-06,0.998878727303633,all,frozen_layer_mean_validation,False,validation,test,1.98714958443702e-06,0.5326219876353984,475.48294680408895
lf,0.1,317,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_317\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_317\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_317\test.npy,2048,2048,4,4,0.010485030915307602,5.960464477539063e-08,4.179223666786469e-09,3.7272143345035147e-06,0.998878727303633,all,analytical_stencil,False,validation,test,3.652614747551297e-06,0.9799626958297871,873.9936023476587
lf,0.1,317,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_317\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_317\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_317\test.npy,2048,2048,4,4,0.010485030915307602,5.960464477539063e-08,4.179223666786469e-09,3.7272143345035147e-06,0.998878727303633,all,original,True,none,test,4.179223666786469e-09,0.0,1.0
lf,0.1,318,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_318\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_318\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_318\test.npy,2048,2048,4,4,0.007509319841038507,1.1920928955078125e-07,7.019031546956489e-09,5.548073204408865e-06,0.9987348704156646,all,frozen_per_head_validation,True,validation,test,5.227395644905736e-07,0.09307263868117926,74.4745996642853
lf,0.1,318,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_318\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_318\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_318\test.npy,2048,2048,4,4,0.007509319841038507,1.1920928955078125e-07,7.019031546956489e-09,5.548073204408865e-06,0.9987348704156646,all,frozen_layer_mean_validation,False,validation,test,1.5094085483724484e-06,0.27113785029997645,215.04512955593435
lf,0.1,318,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_318\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_318\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_318\test.npy,2048,2048,4,4,0.007509319841038507,1.1920928955078125e-07,7.019031546956489e-09,5.548073204408865e-06,0.9987348704156646,all,analytical_stencil,False,validation,test,5.6602231325086905e-05,10.21379876968591,8064.108409603901
lf,0.1,318,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_318\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_318\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_318\test.npy,2048,2048,4,4,0.007509319841038507,1.1920928955078125e-07,7.019031546956489e-09,5.548073204408865e-06,0.9987348704156646,all,original,True,none,test,7.019031546956489e-09,0.0,1.0
lf,0.1,319,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_319\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_319\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_319\test.npy,2048,2048,4,4,0.00982357739966998,1.1920928955078125e-07,5.0360541431482275e-09,4.482228177948855e-06,0.9988764395869171,all,frozen_per_head_validation,True,validation,test,1.2580407249968006e-07,0.026974053160326857,24.98068307522905
